;DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;CAPACITY_PRICE_[EUR/MW];ENERGY_PRICE_[EUR/MWh];ENERGY_PRICE_PAYMENT_DIRECTION;OFFERED_CAPACITY_[MW];ALLOCATED_CAPACITY_[MW];COUNTRY;NOTE
75038;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;274.0;GRID_TO_PROVIDER;5;0;DE;
75039;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;260.0;GRID_TO_PROVIDER;5;0;DE;
75040;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;441.0;GRID_TO_PROVIDER;5;0;DE;
75041;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;289.0;GRID_TO_PROVIDER;5;0;DE;
75042;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;289.0;GRID_TO_PROVIDER;5;0;DE;
75043;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;248.0;GRID_TO_PROVIDER;8;0;DE;
75044;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;289.0;GRID_TO_PROVIDER;6;0;DE;
75045;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;334.0;GRID_TO_PROVIDER;5;0;DE;
75046;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;990.0;GRID_TO_PROVIDER;5;0;DE;
75047;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;248.0;GRID_TO_PROVIDER;5;0;DE;
75048;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;289.0;GRID_TO_PROVIDER;5;0;DE;
75049;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;289.0;GRID_TO_PROVIDER;7;0;DE;
75050;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;645.0;GRID_TO_PROVIDER;5;0;DE;
75051;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;440.0;GRID_TO_PROVIDER;8;0;DE;
75052;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;58.4;GRID_TO_PROVIDER;5;5;DE;
75053;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;260.6;GRID_TO_PROVIDER;5;0;DE;
75054;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;334.0;GRID_TO_PROVIDER;5;0;DE;
75055;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;289.0;GRID_TO_PROVIDER;5;0;DE;
75056;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;248.0;GRID_TO_PROVIDER;5;0;DE;
75057;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;174.54;GRID_TO_PROVIDER;1;0;DE;
75058;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;289.0;GRID_TO_PROVIDER;6;0;DE;
75059;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;289.0;GRID_TO_PROVIDER;5;0;DE;
75060;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;248.0;GRID_TO_PROVIDER;10;0;DE;
75061;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;800.0;GRID_TO_PROVIDER;5;0;DE;
75062;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;440.0;GRID_TO_PROVIDER;8;0;DE;
75063;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;495.0;GRID_TO_PROVIDER;5;0;DE;
75064;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;248.0;GRID_TO_PROVIDER;5;0;DE;
75065;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;289.0;GRID_TO_PROVIDER;5;0;DE;
75066;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;283.2;GRID_TO_PROVIDER;5;0;DE;
75067;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;289.0;GRID_TO_PROVIDER;5;0;DE;
75068;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;248.0;GRID_TO_PROVIDER;5;0;DE;
75069;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;241.67;GRID_TO_PROVIDER;5;0;DE;
75070;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;289.0;GRID_TO_PROVIDER;5;0;DE;
75071;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;441.0;GRID_TO_PROVIDER;5;0;DE;
75072;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;495.0;GRID_TO_PROVIDER;5;0;DE;
75073;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;625.0;GRID_TO_PROVIDER;8;0;DE;
75074;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;375.0;GRID_TO_PROVIDER;5;0;DE;
75075;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;289.0;GRID_TO_PROVIDER;5;0;DE;
75076;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;990.0;GRID_TO_PROVIDER;5;0;DE;
75077;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;248.0;GRID_TO_PROVIDER;6;0;DE;
75078;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;289.0;GRID_TO_PROVIDER;5;0;DE;
75079;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;645.0;GRID_TO_PROVIDER;5;0;DE;
75080;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.0;800.0;GRID_TO_PROVIDER;5;0;DE;
75081;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.272;116.004;GRID_TO_PROVIDER;6;6;DE;
75082;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.272;117.87;GRID_TO_PROVIDER;5;5;DE;
75083;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.272;116.937;GRID_TO_PROVIDER;6;6;DE;
75084;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.272;118.804;GRID_TO_PROVIDER;5;5;DE;
75085;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.44;169.12;GRID_TO_PROVIDER;3;0;DE;
75086;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.66;160.02;GRID_TO_PROVIDER;5;0;DE;
75087;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.72;154.27;GRID_TO_PROVIDER;5;5;DE;
75088;2019-06-19;2019-06-19;mFRR;NEG_00_04;0.87;160.03;GRID_TO_PROVIDER;5;0;DE;
75089;2019-06-19;2019-06-19;mFRR;NEG_00_04;1.0;150.0;GRID_TO_PROVIDER;17;17;DE;
75090;2019-06-19;2019-06-19;mFRR;NEG_00_04;1.09;160.0;GRID_TO_PROVIDER;5;0;DE;
75091;2019-06-19;2019-06-19;mFRR;NEG_00_04;1.3;160.04;GRID_TO_PROVIDER;5;0;DE;
75092;2019-06-19;2019-06-19;mFRR;NEG_00_04;1.52;160.01;GRID_TO_PROVIDER;7;0;DE;
75093;2019-06-19;2019-06-19;mFRR;NEG_00_04;2.0;440.0;GRID_TO_PROVIDER;2;0;DE;
75094;2019-06-19;2019-06-19;mFRR;NEG_00_04;2.0;440.0;GRID_TO_PROVIDER;5;0;DE;
75095;2019-06-19;2019-06-19;mFRR;NEG_00_04;2.0;440.0;GRID_TO_PROVIDER;7;0;DE;
75096;2019-06-19;2019-06-19;mFRR;NEG_00_04;2.0;440.0;GRID_TO_PROVIDER;24;0;DE;
75097;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75098;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75099;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75100;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75101;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75102;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75103;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75104;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75105;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75106;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75107;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75108;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75109;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75110;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75111;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75112;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75113;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;136.0;GRID_TO_PROVIDER;8;0;DE;
75114;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;7;0;DE;
75115;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75116;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75117;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75118;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75119;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75120;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75121;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75122;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75123;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75124;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75125;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.0;489.0;GRID_TO_PROVIDER;5;0;DE;
75126;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.173;58.952;GRID_TO_PROVIDER;5;5;DE;
75127;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.582;58.952;GRID_TO_PROVIDER;5;5;DE;
75128;2019-06-19;2019-06-19;mFRR;NEG_00_04;3.6;69.98;GRID_TO_PROVIDER;2;2;DE;
75129;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.0;104.292;GRID_TO_PROVIDER;5;0;DE;
75130;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.0;16.1;PROVIDER_TO_GRID;5;5;DE;
75131;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.0;200.0;GRID_TO_PROVIDER;11;0;DE;
75132;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.0;399.0;GRID_TO_PROVIDER;5;0;DE;
75133;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.0;399.0;GRID_TO_PROVIDER;5;0;DE;
75134;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.11;376.0;GRID_TO_PROVIDER;5;0;DE;
75135;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.191;49.126;GRID_TO_PROVIDER;5;5;DE;
75136;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.32;68.4;GRID_TO_PROVIDER;5;5;DE;
75137;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.36;55.0;GRID_TO_PROVIDER;20;20;DE;
75138;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.44;93.724;GRID_TO_PROVIDER;5;0;DE;
75139;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.506;49.126;GRID_TO_PROVIDER;5;5;DE;
75140;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.55;98.5;GRID_TO_PROVIDER;5;0;DE;
75141;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.65;56.25;GRID_TO_PROVIDER;25;25;DE;
75142;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.808;49.126;GRID_TO_PROVIDER;5;5;DE;
75143;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.87;83.157;GRID_TO_PROVIDER;5;0;DE;
75144;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.9;136.0;GRID_TO_PROVIDER;5;0;DE;
75145;2019-06-19;2019-06-19;mFRR;NEG_00_04;4.94;57.5;GRID_TO_PROVIDER;25;25;DE;
75146;2019-06-19;2019-06-19;mFRR;NEG_00_04;5.0;399.0;GRID_TO_PROVIDER;5;0;DE;
75147;2019-06-19;2019-06-19;mFRR;NEG_00_04;5.0;399.0;GRID_TO_PROVIDER;5;0;DE;
75148;2019-06-19;2019-06-19;mFRR;NEG_00_04;5.0;16.0;GRID_TO_PROVIDER;5;5;DE;
75149;2019-06-19;2019-06-19;mFRR;NEG_00_04;5.0;399.0;GRID_TO_PROVIDER;5;0;DE;
