;DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;CAPACITY_PRICE_[EUR/MW];ENERGY_PRICE_[EUR/MWh];ENERGY_PRICE_PAYMENT_DIRECTION;OFFERED_CAPACITY_[MW];ALLOCATED_CAPACITY_[MW];COUNTRY;NOTE
41422;2019-05-12;2019-05-12;aFRR;NEG_00_04;0.0;66.78;GRID_TO_PROVIDER;4;4;DE;
41423;2019-05-12;2019-05-12;aFRR;NEG_00_04;0.0;33.6;GRID_TO_PROVIDER;4;4;DE;
41424;2019-05-12;2019-05-12;aFRR;NEG_00_04;0.0;120.0;GRID_TO_PROVIDER;40;40;DE;
41425;2019-05-12;2019-05-12;aFRR;NEG_00_04;0.0;50.0;GRID_TO_PROVIDER;6;6;DE;
41426;2019-05-12;2019-05-12;aFRR;NEG_00_04;1.56;51.0;GRID_TO_PROVIDER;6;5;AT;
41427;2019-05-12;2019-05-12;aFRR;NEG_00_04;2.0;70.01;GRID_TO_PROVIDER;5;5;DE;
41428;2019-05-12;2019-05-12;aFRR;NEG_00_04;2.0;70.01;GRID_TO_PROVIDER;5;5;DE;
41429;2019-05-12;2019-05-12;aFRR;NEG_00_04;3.6;0.0;PROVIDER_TO_GRID;5;5;DE;
41430;2019-05-12;2019-05-12;aFRR;NEG_00_04;4.8;0.0;PROVIDER_TO_GRID;5;5;DE;
41431;2019-05-12;2019-05-12;aFRR;NEG_00_04;5.08;4.75;PROVIDER_TO_GRID;5;5;DE;
41432;2019-05-12;2019-05-12;aFRR;NEG_00_04;6.57;9.5;PROVIDER_TO_GRID;5;5;DE;
41433;2019-05-12;2019-05-12;aFRR;NEG_00_04;7.0;5.01;GRID_TO_PROVIDER;5;5;DE;
41434;2019-05-12;2019-05-12;aFRR;NEG_00_04;8.0;11.0;PROVIDER_TO_GRID;5;5;DE;
41435;2019-05-12;2019-05-12;aFRR;NEG_00_04;8.0;16.0;PROVIDER_TO_GRID;5;5;DE;
41436;2019-05-12;2019-05-12;aFRR;NEG_00_04;8.05;14.25;PROVIDER_TO_GRID;5;5;DE;
41437;2019-05-12;2019-05-12;aFRR;NEG_00_04;9.24;3.97;PROVIDER_TO_GRID;10;10;DE;
41438;2019-05-12;2019-05-12;aFRR;NEG_00_04;9.53;17.5;PROVIDER_TO_GRID;5;5;DE;
41439;2019-05-12;2019-05-12;aFRR;NEG_00_04;9.6;2.854;PROVIDER_TO_GRID;20;20;DE;
41440;2019-05-12;2019-05-12;aFRR;NEG_00_04;9.96;1.738;PROVIDER_TO_GRID;20;20;DE;
41441;2019-05-12;2019-05-12;aFRR;NEG_00_04;10.16;6.6;PROVIDER_TO_GRID;5;5;DE;
41442;2019-05-12;2019-05-12;aFRR;NEG_00_04;10.25;26.0;GRID_TO_PROVIDER;5;5;DE;
41443;2019-05-12;2019-05-12;aFRR;NEG_00_04;10.31;0.622;PROVIDER_TO_GRID;20;20;DE;
41444;2019-05-12;2019-05-12;aFRR;NEG_00_04;10.67;0.494;GRID_TO_PROVIDER;20;20;DE;
41445;2019-05-12;2019-05-12;aFRR;NEG_00_04;11.03;1.609;GRID_TO_PROVIDER;20;20;DE;
41446;2019-05-12;2019-05-12;aFRR;NEG_00_04;11.25;26.0;GRID_TO_PROVIDER;14;14;DE;
41447;2019-05-12;2019-05-12;aFRR;NEG_00_04;11.39;2.725;GRID_TO_PROVIDER;20;20;DE;
41448;2019-05-12;2019-05-12;aFRR;NEG_00_04;11.48;9.5;PROVIDER_TO_GRID;5;5;DE;
41449;2019-05-12;2019-05-12;aFRR;NEG_00_04;11.74;3.841;GRID_TO_PROVIDER;20;20;DE;
41450;2019-05-12;2019-05-12;aFRR;NEG_00_04;11.88;9.34;PROVIDER_TO_GRID;5;5;DE;
41451;2019-05-12;2019-05-12;aFRR;NEG_00_04;11.9;26.0;GRID_TO_PROVIDER;11;11;DE;
41452;2019-05-12;2019-05-12;aFRR;NEG_00_04;12.1;4.957;GRID_TO_PROVIDER;20;20;DE;
41453;2019-05-12;2019-05-12;aFRR;NEG_00_04;12.25;26.0;GRID_TO_PROVIDER;1;1;DE;
41454;2019-05-12;2019-05-12;aFRR;NEG_00_04;12.28;9.18;PROVIDER_TO_GRID;5;5;DE;
41455;2019-05-12;2019-05-12;aFRR;NEG_00_04;12.46;6.073;GRID_TO_PROVIDER;20;20;DE;
41456;2019-05-12;2019-05-12;aFRR;NEG_00_04;12.68;9.02;PROVIDER_TO_GRID;5;5;DE;
41457;2019-05-12;2019-05-12;aFRR;NEG_00_04;12.68;96.67;GRID_TO_PROVIDER;5;5;DE;
41458;2019-05-12;2019-05-12;aFRR;NEG_00_04;12.82;7.189;GRID_TO_PROVIDER;20;20;DE;
41459;2019-05-12;2019-05-12;aFRR;NEG_00_04;13.08;8.85;PROVIDER_TO_GRID;5;5;DE;
41460;2019-05-12;2019-05-12;aFRR;NEG_00_04;13.17;8.305;GRID_TO_PROVIDER;20;20;DE;
41461;2019-05-12;2019-05-12;aFRR;NEG_00_04;13.48;8.69;PROVIDER_TO_GRID;5;5;DE;
41462;2019-05-12;2019-05-12;aFRR;NEG_00_04;13.53;9.421;GRID_TO_PROVIDER;20;20;DE;
41463;2019-05-12;2019-05-12;aFRR;NEG_00_04;13.84;8.53;PROVIDER_TO_GRID;5;5;DE;
41464;2019-05-12;2019-05-12;aFRR;NEG_00_04;13.89;10.536;GRID_TO_PROVIDER;20;20;DE;
41465;2019-05-12;2019-05-12;aFRR;NEG_00_04;14.08;10.0;GRID_TO_PROVIDER;5;5;DE;
41466;2019-05-12;2019-05-12;aFRR;NEG_00_04;14.24;8.37;PROVIDER_TO_GRID;5;5;DE;
41467;2019-05-12;2019-05-12;aFRR;NEG_00_04;14.25;11.652;GRID_TO_PROVIDER;20;20;DE;
41468;2019-05-12;2019-05-12;aFRR;NEG_00_04;14.4;1.0;GRID_TO_PROVIDER;20;20;AT;
41469;2019-05-12;2019-05-12;aFRR;NEG_00_04;14.6;12.768;GRID_TO_PROVIDER;20;20;DE;
41470;2019-05-12;2019-05-12;aFRR;NEG_00_04;14.64;8.21;PROVIDER_TO_GRID;5;5;DE;
41471;2019-05-12;2019-05-12;aFRR;NEG_00_04;14.96;13.884;GRID_TO_PROVIDER;20;20;DE;
41472;2019-05-12;2019-05-12;aFRR;NEG_00_04;15.0;100.0;GRID_TO_PROVIDER;5;5;DE;
41473;2019-05-12;2019-05-12;aFRR;NEG_00_04;15.04;8.05;PROVIDER_TO_GRID;5;5;DE;
41474;2019-05-12;2019-05-12;aFRR;NEG_00_04;15.15;10.01;GRID_TO_PROVIDER;5;5;DE;
41475;2019-05-12;2019-05-12;aFRR;NEG_00_04;15.32;15.0;GRID_TO_PROVIDER;20;20;DE;
41476;2019-05-12;2019-05-12;aFRR;NEG_00_04;15.44;7.89;PROVIDER_TO_GRID;5;5;DE;
41477;2019-05-12;2019-05-12;aFRR;NEG_00_04;15.6;0.8;GRID_TO_PROVIDER;5;5;AT;
41478;2019-05-12;2019-05-12;aFRR;NEG_00_04;15.6;1.0;GRID_TO_PROVIDER;20;20;AT;
41479;2019-05-12;2019-05-12;aFRR;NEG_00_04;15.6;0.05;GRID_TO_PROVIDER;10;10;AT;
41480;2019-05-12;2019-05-12;aFRR;NEG_00_04;15.74;72.5;GRID_TO_PROVIDER;6;6;DE;
41481;2019-05-12;2019-05-12;aFRR;NEG_00_04;15.84;7.73;PROVIDER_TO_GRID;5;5;DE;
41482;2019-05-12;2019-05-12;aFRR;NEG_00_04;15.87;64.0;GRID_TO_PROVIDER;5;5;DE;
41483;2019-05-12;2019-05-12;aFRR;NEG_00_04;16.0;0.1;GRID_TO_PROVIDER;4;4;AT;
41484;2019-05-12;2019-05-12;aFRR;NEG_00_04;16.2;7.57;PROVIDER_TO_GRID;5;5;DE;
41485;2019-05-12;2019-05-12;aFRR;NEG_00_04;16.24;1.0;PROVIDER_TO_GRID;3;3;AT;
41486;2019-05-12;2019-05-12;aFRR;NEG_00_04;16.28;1.0;PROVIDER_TO_GRID;5;5;AT;
41487;2019-05-12;2019-05-12;aFRR;NEG_00_04;16.32;1.0;PROVIDER_TO_GRID;5;5;AT;
41488;2019-05-12;2019-05-12;aFRR;NEG_00_04;16.36;1.0;PROVIDER_TO_GRID;5;5;AT;
41489;2019-05-12;2019-05-12;aFRR;NEG_00_04;16.4;0.05;GRID_TO_PROVIDER;10;10;AT;
41490;2019-05-12;2019-05-12;aFRR;NEG_00_04;16.6;7.41;PROVIDER_TO_GRID;5;5;DE;
41491;2019-05-12;2019-05-12;aFRR;NEG_00_04;16.8;1.0;GRID_TO_PROVIDER;20;20;AT;
41492;2019-05-12;2019-05-12;aFRR;NEG_00_04;16.8;0.05;GRID_TO_PROVIDER;10;10;AT;
41493;2019-05-12;2019-05-12;aFRR;NEG_00_04;16.88;1.0;GRID_TO_PROVIDER;11;11;AT;
41494;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.0;7.24;PROVIDER_TO_GRID;5;5;DE;
41495;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.16;0.68;PROVIDER_TO_GRID;5;5;DE;
41496;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.2;0.05;GRID_TO_PROVIDER;10;9;AT;
41497;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.4;12.0;GRID_TO_PROVIDER;5;5;DE;
41498;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.4;12.0;GRID_TO_PROVIDER;5;5;DE;
41499;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.4;12.0;GRID_TO_PROVIDER;5;5;DE;
41500;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.4;12.0;GRID_TO_PROVIDER;5;5;DE;
41501;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.4;12.0;GRID_TO_PROVIDER;6;6;DE;
41502;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.4;7.08;PROVIDER_TO_GRID;5;5;DE;
41503;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.4;12.0;GRID_TO_PROVIDER;5;5;DE;
41504;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.4;12.0;GRID_TO_PROVIDER;5;5;DE;
41505;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.4;12.0;GRID_TO_PROVIDER;5;5;DE;
41506;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.4;12.0;GRID_TO_PROVIDER;5;5;DE;
41507;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.4;12.0;GRID_TO_PROVIDER;5;5;DE;
41508;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.4;12.0;GRID_TO_PROVIDER;5;5;DE;
41509;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.4;12.0;GRID_TO_PROVIDER;5;5;DE;
41510;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.52;1.0;PROVIDER_TO_GRID;5;5;AT;
41511;2019-05-12;2019-05-12;aFRR;NEG_00_04;17.8;6.92;PROVIDER_TO_GRID;5;5;DE;
41512;2019-05-12;2019-05-12;aFRR;NEG_00_04;18.2;6.76;PROVIDER_TO_GRID;5;5;DE;
41513;2019-05-12;2019-05-12;aFRR;NEG_00_04;18.56;6.6;PROVIDER_TO_GRID;5;5;DE;
41514;2019-05-12;2019-05-12;aFRR;NEG_00_04;18.72;10.0;PROVIDER_TO_GRID;10;10;DE;
41515;2019-05-12;2019-05-12;aFRR;NEG_00_04;19.0;101.0;GRID_TO_PROVIDER;5;5;DE;
41516;2019-05-12;2019-05-12;aFRR;NEG_00_04;19.0;101.0;GRID_TO_PROVIDER;5;5;DE;
41517;2019-05-12;2019-05-12;aFRR;NEG_00_04;19.0;101.0;GRID_TO_PROVIDER;9;5;DE;
41518;2019-05-12;2019-05-12;aFRR;NEG_00_04;19.0;101.0;GRID_TO_PROVIDER;5;5;DE;
41519;2019-05-12;2019-05-12;aFRR;NEG_00_04;19.0;101.0;GRID_TO_PROVIDER;5;5;DE;
41520;2019-05-12;2019-05-12;aFRR;NEG_00_04;19.0;101.0;GRID_TO_PROVIDER;5;5;DE;
41521;2019-05-12;2019-05-12;aFRR;NEG_00_04;19.0;101.0;GRID_TO_PROVIDER;5;5;DE;
