,DATE_FROM,DATE_TO,TYPE_OF_RESERVES,PRODUCT,CAPACITY_PRICE_[EUR/MW],ENERGY_PRICE_[EUR/MWh],ENERGY_PRICE_PAYMENT_DIRECTION,OFFERED_CAPACITY_[MW],ALLOCATED_CAPACITY_[MW],COUNTRY,NOTE
95720,2019-01-26,2019-01-26,aFRR,NEG_00_04,0.0,120.0,GRID_TO_PROVIDER,40,5,DE,
95721,2019-01-26,2019-01-26,aFRR,NEG_00_04,0.0,42.0,GRID_TO_PROVIDER,4,4,DE,
95722,2019-01-26,2019-01-26,aFRR,NEG_00_04,0.0,34.0,GRID_TO_PROVIDER,5,5,DE,
95723,2019-01-26,2019-01-26,aFRR,NEG_00_04,0.0,38.0,GRID_TO_PROVIDER,5,5,DE,
95724,2019-01-26,2019-01-26,aFRR,NEG_00_04,0.0,49.0,GRID_TO_PROVIDER,10,10,DE,
95725,2019-01-26,2019-01-26,aFRR,NEG_00_04,2.0,70.01,GRID_TO_PROVIDER,5,5,DE,
95726,2019-01-26,2019-01-26,aFRR,NEG_00_04,2.0,70.01,GRID_TO_PROVIDER,5,5,DE,
95727,2019-01-26,2019-01-26,aFRR,NEG_00_04,4.0,3.0,GRID_TO_PROVIDER,5,5,DE,
95728,2019-01-26,2019-01-26,aFRR,NEG_00_04,5.0,33.0,PROVIDER_TO_GRID,5,5,DE,
95729,2019-01-26,2019-01-26,aFRR,NEG_00_04,5.0,1.0,GRID_TO_PROVIDER,5,5,DE,
95730,2019-01-26,2019-01-26,aFRR,NEG_00_04,5.0,50.0,GRID_TO_PROVIDER,7,7,DE,
95731,2019-01-26,2019-01-26,aFRR,NEG_00_04,7.0,100.0,GRID_TO_PROVIDER,5,5,AT,
95732,2019-01-26,2019-01-26,aFRR,NEG_00_04,7.69,10.01,GRID_TO_PROVIDER,5,5,DE,
95733,2019-01-26,2019-01-26,aFRR,NEG_00_04,7.69,10.01,GRID_TO_PROVIDER,5,5,DE,
95734,2019-01-26,2019-01-26,aFRR,NEG_00_04,8.0,2.0,PROVIDER_TO_GRID,5,5,DE,
95735,2019-01-26,2019-01-26,aFRR,NEG_00_04,8.0,10.0,GRID_TO_PROVIDER,5,5,DE,
95736,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.0,37.0,PROVIDER_TO_GRID,5,5,DE,
95737,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.4,6.0,PROVIDER_TO_GRID,5,5,DE,
95738,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.4,6.0,PROVIDER_TO_GRID,5,5,DE,
95739,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.44,6.0,PROVIDER_TO_GRID,5,5,DE,
95740,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.46,6.0,PROVIDER_TO_GRID,5,5,DE,
95741,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.47,6.0,PROVIDER_TO_GRID,5,5,DE,
95742,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.51,6.0,PROVIDER_TO_GRID,5,5,DE,
95743,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.51,6.0,PROVIDER_TO_GRID,5,5,DE,
95744,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.54,6.0,PROVIDER_TO_GRID,5,5,DE,
95745,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.57,6.0,PROVIDER_TO_GRID,5,5,DE,
95746,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.58,6.0,PROVIDER_TO_GRID,5,5,DE,
95747,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.61,6.0,PROVIDER_TO_GRID,5,5,DE,
95748,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.62,6.0,PROVIDER_TO_GRID,5,5,DE,
95749,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.65,6.0,PROVIDER_TO_GRID,5,5,DE,
95750,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.68,6.0,PROVIDER_TO_GRID,5,5,DE,
95751,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.69,6.0,PROVIDER_TO_GRID,5,5,DE,
95752,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.72,6.0,PROVIDER_TO_GRID,5,5,DE,
95753,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.73,6.0,PROVIDER_TO_GRID,5,5,DE,
95754,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.76,6.0,PROVIDER_TO_GRID,5,5,DE,
95755,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.79,6.0,PROVIDER_TO_GRID,5,5,DE,
95756,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.79,6.0,PROVIDER_TO_GRID,5,5,DE,
95757,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.83,6.0,PROVIDER_TO_GRID,5,5,DE,
95758,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.84,6.0,PROVIDER_TO_GRID,5,5,DE,
95759,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.86,6.0,PROVIDER_TO_GRID,5,5,DE,
95760,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.9,6.0,PROVIDER_TO_GRID,9,9,DE,
95761,2019-01-26,2019-01-26,aFRR,NEG_00_04,9.9,6.0,PROVIDER_TO_GRID,5,5,DE,
95762,2019-01-26,2019-01-26,aFRR,NEG_00_04,10.0,1.01,GRID_TO_PROVIDER,5,5,DE,
95763,2019-01-26,2019-01-26,aFRR,NEG_00_04,10.0,6.0,PROVIDER_TO_GRID,5,5,DE,
95764,2019-01-26,2019-01-26,aFRR,NEG_00_04,11.98,0.0,PROVIDER_TO_GRID,5,5,DE,
95765,2019-01-26,2019-01-26,aFRR,NEG_00_04,12.0,17.0,PROVIDER_TO_GRID,20,20,DE,
95766,2019-01-26,2019-01-26,aFRR,NEG_00_04,12.0,1.02,GRID_TO_PROVIDER,5,5,DE,
95767,2019-01-26,2019-01-26,aFRR,NEG_00_04,12.0,9.0,PROVIDER_TO_GRID,5,5,DE,
95768,2019-01-26,2019-01-26,aFRR,NEG_00_04,12.0,23.0,PROVIDER_TO_GRID,20,20,DE,
95769,2019-01-26,2019-01-26,aFRR,NEG_00_04,12.98,0.0,PROVIDER_TO_GRID,16,16,DE,
95770,2019-01-26,2019-01-26,aFRR,NEG_00_04,13.4,0.0,PROVIDER_TO_GRID,10,10,DE,
95771,2019-01-26,2019-01-26,aFRR,NEG_00_04,13.98,0.0,PROVIDER_TO_GRID,1,1,DE,
95772,2019-01-26,2019-01-26,aFRR,NEG_00_04,14.0,41.0,PROVIDER_TO_GRID,5,5,DE,
95773,2019-01-26,2019-01-26,aFRR,NEG_00_04,14.64,12.0,PROVIDER_TO_GRID,5,5,DE,
95774,2019-01-26,2019-01-26,aFRR,NEG_00_04,14.75,25.0,PROVIDER_TO_GRID,5,5,DE,
95775,2019-01-26,2019-01-26,aFRR,NEG_00_04,14.82,12.182,PROVIDER_TO_GRID,5,5,DE,
95776,2019-01-26,2019-01-26,aFRR,NEG_00_04,14.99,12.364,PROVIDER_TO_GRID,5,5,DE,
95777,2019-01-26,2019-01-26,aFRR,NEG_00_04,15.17,12.545,PROVIDER_TO_GRID,5,5,DE,
95778,2019-01-26,2019-01-26,aFRR,NEG_00_04,15.35,12.727,PROVIDER_TO_GRID,5,5,DE,
95779,2019-01-26,2019-01-26,aFRR,NEG_00_04,15.52,12.909,PROVIDER_TO_GRID,5,5,DE,
95780,2019-01-26,2019-01-26,aFRR,NEG_00_04,15.65,13.5,PROVIDER_TO_GRID,5,5,DE,
95781,2019-01-26,2019-01-26,aFRR,NEG_00_04,15.7,13.091,PROVIDER_TO_GRID,5,5,DE,
