Asset;sb_rate_pos;sb_rate_neg;sb_P_min;sb_P_max;sb_costs;bg_name;class
Trimet_Elektrolyseur;60;60;190;250;40;Trimet;LoadFlex
Arcelor_Mittal_Kessel;20;20;-10;10;40;Arcelor Mittal;LoadFlex
Hansewerk_E_Kessel;0.2;0.2;0;0.2;40;Hansewerk;LoadFlex
Aurubis_E_Kessel;0.08733;0.10188;0;10;10;Aurubis;LoadFlex
ARGE_Wind_1;10.959375;10.959375;17.535;175.35;20.91424865;ARGE Netz;GeneratorFlex
ARGE_Wind_2;13.390625;13.390625;21.425;214.25;29.79347725;ARGE Netz;GeneratorFlex
ARGE_Wind_3;14.61875;14.61875;23.39;233.9;38.41376229;ARGE Netz;GeneratorFlex
ARGE_Wind_4;16.564375;16.564375;26.503;265.03;46.26071879;ARGE Netz;GeneratorFlex
ARGE_Wind_5;32.0775;32.0775;51.324;513.24;48.82587919;ARGE Netz;GeneratorFlex
ARGE_Wind_6;22.0875;22.0875;35.34;353.4;49.53367855;ARGE Netz;GeneratorFlex
ARGE_Wind_7;38.883125;38.883125;62.213;622.13;51.80546236;ARGE Netz;GeneratorFlex
ARGE_Wind_8;20.695625;20.695625;33.113;331.13;59.77637876;ARGE Netz;GeneratorFlex
