;DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;CAPACITY_PRICE_[EUR/MW];ENERGY_PRICE_[EUR/MWh];ENERGY_PRICE_PAYMENT_DIRECTION;OFFERED_CAPACITY_[MW];ALLOCATED_CAPACITY_[MW];COUNTRY;NOTE
53625;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;453.259;GRID_TO_PROVIDER;6;0;DE;
53626;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;453.259;GRID_TO_PROVIDER;6;0;DE;
53627;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;453.259;GRID_TO_PROVIDER;5;0;DE;
53628;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;453.259;GRID_TO_PROVIDER;6;0;DE;
53629;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;453.259;GRID_TO_PROVIDER;5;0;DE;
53630;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;248.0;GRID_TO_PROVIDER;7;7;DE;
53631;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;136.0;GRID_TO_PROVIDER;5;5;DE;
53632;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;299.0;GRID_TO_PROVIDER;30;0;DE;
53633;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;299.0;GRID_TO_PROVIDER;30;0;DE;
53634;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;299.0;GRID_TO_PROVIDER;30;30;DE;
53635;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;299.0;GRID_TO_PROVIDER;30;0;DE;
53636;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;299.0;GRID_TO_PROVIDER;26;26;DE;
53637;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;299.0;GRID_TO_PROVIDER;15;15;DE;
53638;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;299.0;GRID_TO_PROVIDER;15;0;DE;
53639;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;299.0;GRID_TO_PROVIDER;10;5;DE;
53640;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;299.0;GRID_TO_PROVIDER;15;15;DE;
53641;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;299.0;GRID_TO_PROVIDER;15;0;DE;
53642;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;299.0;GRID_TO_PROVIDER;13;13;DE;
53643;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;299.0;GRID_TO_PROVIDER;15;15;DE;
53644;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;299.0;GRID_TO_PROVIDER;15;15;DE;
53645;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;299.0;GRID_TO_PROVIDER;15;15;DE;
53646;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;299.0;GRID_TO_PROVIDER;7;0;DE;
53647;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;447.0;GRID_TO_PROVIDER;8;0;DE;
53648;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;447.0;GRID_TO_PROVIDER;8;0;DE;
53649;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;447.0;GRID_TO_PROVIDER;5;0;DE;
53650;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;447.0;GRID_TO_PROVIDER;19;0;DE;
53651;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;447.0;GRID_TO_PROVIDER;5;0;DE;
53652;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;447.0;GRID_TO_PROVIDER;9;0;DE;
53653;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;447.0;GRID_TO_PROVIDER;6;0;DE;
53654;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;600.0;GRID_TO_PROVIDER;9;0;DE;
53655;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;257.0;GRID_TO_PROVIDER;8;8;DE;
53656;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;257.0;GRID_TO_PROVIDER;5;5;DE;
53657;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;257.0;GRID_TO_PROVIDER;3;3;DE;
53658;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;12.0;PROVIDER_TO_GRID;18;18;DE;
53659;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;2.0;GRID_TO_PROVIDER;8;8;DE;
53660;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;1.0;GRID_TO_PROVIDER;8;8;DE;
53661;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;3.0;PROVIDER_TO_GRID;8;8;DE;
53662;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;9.0;PROVIDER_TO_GRID;8;8;DE;
53663;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;10.0;PROVIDER_TO_GRID;8;8;DE;
53664;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;800.0;GRID_TO_PROVIDER;5;0;DE;
53665;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;990.0;GRID_TO_PROVIDER;5;0;DE;
53666;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;990.0;GRID_TO_PROVIDER;5;0;DE;
53667;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;645.0;GRID_TO_PROVIDER;5;0;DE;
53668;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;645.0;GRID_TO_PROVIDER;5;0;DE;
53669;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;800.0;GRID_TO_PROVIDER;5;0;DE;
53670;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;800.0;GRID_TO_PROVIDER;5;0;DE;
53671;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;990.0;GRID_TO_PROVIDER;5;0;DE;
53672;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;990.0;GRID_TO_PROVIDER;5;0;DE;
53673;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;257.0;GRID_TO_PROVIDER;5;5;DE;
53674;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;257.0;GRID_TO_PROVIDER;5;5;DE;
53675;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;257.0;GRID_TO_PROVIDER;5;5;DE;
53676;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;257.0;GRID_TO_PROVIDER;5;5;DE;
53677;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;257.0;GRID_TO_PROVIDER;6;6;DE;
53678;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;257.0;GRID_TO_PROVIDER;5;5;DE;
53679;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;257.0;GRID_TO_PROVIDER;5;5;DE;
53680;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;257.0;GRID_TO_PROVIDER;5;5;DE;
53681;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;257.0;GRID_TO_PROVIDER;5;5;DE;
53682;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;248.0;GRID_TO_PROVIDER;10;10;DE;
53683;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;297.0;GRID_TO_PROVIDER;5;5;DE;
53684;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;51.2;GRID_TO_PROVIDER;5;5;DE;
53685;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;248.0;GRID_TO_PROVIDER;10;10;DE;
53686;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;297.0;GRID_TO_PROVIDER;5;5;DE;
53687;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;248.0;GRID_TO_PROVIDER;8;8;DE;
53688;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;188.5;GRID_TO_PROVIDER;5;5;DE;
53689;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;188.5;GRID_TO_PROVIDER;5;5;DE;
53690;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;236.93;GRID_TO_PROVIDER;7;7;DE;
53691;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;257.0;GRID_TO_PROVIDER;5;5;DE;
53692;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;257.0;GRID_TO_PROVIDER;5;5;DE;
53693;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;11.0;PROVIDER_TO_GRID;5;5;DE;
53694;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.0;453.259;GRID_TO_PROVIDER;6;0;DE;
53695;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.01;375.0;GRID_TO_PROVIDER;5;0;DE;
53696;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.02;1250.0;GRID_TO_PROVIDER;5;0;DE;
53697;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.13;332.28;GRID_TO_PROVIDER;6;0;DE;
53698;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.4;224.0;GRID_TO_PROVIDER;2;2;DE;
53699;2019-01-12;2019-01-12;mFRR;NEG_00_04;0.4;224.0;GRID_TO_PROVIDER;4;4;DE;
53700;2019-01-12;2019-01-12;mFRR;NEG_00_04;1.022;800.0;GRID_TO_PROVIDER;5;0;DE;
53701;2019-01-12;2019-01-12;mFRR;NEG_00_04;1.33;61.2;GRID_TO_PROVIDER;6;6;DE;
53702;2019-01-12;2019-01-12;mFRR;NEG_00_04;1.355;12.88;PROVIDER_TO_GRID;5;5;DE;
53703;2019-01-12;2019-01-12;mFRR;NEG_00_04;2.0;10.0;GRID_TO_PROVIDER;10;10;DE;
53704;2019-01-12;2019-01-12;mFRR;NEG_00_04;2.22;160.0;GRID_TO_PROVIDER;4;4;DE;
53705;2019-01-12;2019-01-12;mFRR;NEG_00_04;2.22;160.01;GRID_TO_PROVIDER;5;5;DE;
