;DATE_FROM;DATE_TO;TYPE_OF_RESERVES;PRODUCT;CAPACITY_PRICE_[EUR/MW];ENERGY_PRICE_[EUR/MWh];ENERGY_PRICE_PAYMENT_DIRECTION;OFFERED_CAPACITY_[MW];ALLOCATED_CAPACITY_[MW];COUNTRY;NOTE
91954;2019-01-25;2019-01-25;aFRR;NEG_00_04;0.0;14.0;GRID_TO_PROVIDER;15;15;DE;
91955;2019-01-25;2019-01-25;aFRR;NEG_00_04;0.0;37.0;GRID_TO_PROVIDER;5;5;DE;
91956;2019-01-25;2019-01-25;aFRR;NEG_00_04;0.0;41.0;GRID_TO_PROVIDER;5;5;DE;
91957;2019-01-25;2019-01-25;aFRR;NEG_00_04;0.0;1.0;GRID_TO_PROVIDER;5;5;DE;
91958;2019-01-25;2019-01-25;aFRR;NEG_00_04;0.0;42.0;GRID_TO_PROVIDER;4;4;DE;
91959;2019-01-25;2019-01-25;aFRR;NEG_00_04;0.0;120.0;GRID_TO_PROVIDER;3;3;AT;
91960;2019-01-25;2019-01-25;aFRR;NEG_00_04;0.12;37.5;GRID_TO_PROVIDER;7;7;DE;
91961;2019-01-25;2019-01-25;aFRR;NEG_00_04;5.0;33.0;PROVIDER_TO_GRID;5;5;DE;
91962;2019-01-25;2019-01-25;aFRR;NEG_00_04;6.0;2.0;PROVIDER_TO_GRID;5;5;DE;
91963;2019-01-25;2019-01-25;aFRR;NEG_00_04;6.94;10.01;GRID_TO_PROVIDER;5;5;DE;
91964;2019-01-25;2019-01-25;aFRR;NEG_00_04;6.94;10.01;GRID_TO_PROVIDER;5;5;DE;
91965;2019-01-25;2019-01-25;aFRR;NEG_00_04;7.49;0.0;PROVIDER_TO_GRID;5;5;DE;
91966;2019-01-25;2019-01-25;aFRR;NEG_00_04;8.0;10.0;GRID_TO_PROVIDER;5;5;DE;
91967;2019-01-25;2019-01-25;aFRR;NEG_00_04;8.0;6.0;PROVIDER_TO_GRID;5;5;DE;
91968;2019-01-25;2019-01-25;aFRR;NEG_00_04;8.15;0.0;PROVIDER_TO_GRID;17;17;DE;
91969;2019-01-25;2019-01-25;aFRR;NEG_00_04;8.3;0.0;PROVIDER_TO_GRID;10;10;DE;
91970;2019-01-25;2019-01-25;aFRR;NEG_00_04;8.69;10.04;GRID_TO_PROVIDER;4;4;DE;
91971;2019-01-25;2019-01-25;aFRR;NEG_00_04;8.69;10.04;GRID_TO_PROVIDER;7;6;DE;
91972;2019-01-25;2019-01-25;aFRR;NEG_00_04;8.69;10.04;GRID_TO_PROVIDER;2;2;DE;
91973;2019-01-25;2019-01-25;aFRR;NEG_00_04;8.75;0.0;PROVIDER_TO_GRID;1;1;DE;
91974;2019-01-25;2019-01-25;aFRR;NEG_00_04;9.0;37.0;PROVIDER_TO_GRID;5;5;DE;
91975;2019-01-25;2019-01-25;aFRR;NEG_00_04;10.0;1.01;GRID_TO_PROVIDER;5;5;DE;
91976;2019-01-25;2019-01-25;aFRR;NEG_00_04;10.0;9.0;PROVIDER_TO_GRID;5;5;DE;
91977;2019-01-25;2019-01-25;aFRR;NEG_00_04;10.73;11.87;PROVIDER_TO_GRID;5;5;DE;
91978;2019-01-25;2019-01-25;aFRR;NEG_00_04;10.84;11.977;PROVIDER_TO_GRID;5;5;DE;
91979;2019-01-25;2019-01-25;aFRR;NEG_00_04;10.95;12.083;PROVIDER_TO_GRID;5;5;DE;
91980;2019-01-25;2019-01-25;aFRR;NEG_00_04;11.06;12.19;PROVIDER_TO_GRID;5;5;DE;
91981;2019-01-25;2019-01-25;aFRR;NEG_00_04;11.16;12.296;PROVIDER_TO_GRID;5;5;DE;
91982;2019-01-25;2019-01-25;aFRR;NEG_00_04;11.27;12.403;PROVIDER_TO_GRID;5;5;DE;
91983;2019-01-25;2019-01-25;aFRR;NEG_00_04;11.38;12.509;PROVIDER_TO_GRID;5;5;DE;
91984;2019-01-25;2019-01-25;aFRR;NEG_00_04;11.4;6.0;PROVIDER_TO_GRID;5;5;DE;
91985;2019-01-25;2019-01-25;aFRR;NEG_00_04;11.4;6.0;PROVIDER_TO_GRID;5;5;DE;
91986;2019-01-25;2019-01-25;aFRR;NEG_00_04;11.4;6.0;PROVIDER_TO_GRID;5;5;DE;
91987;2019-01-25;2019-01-25;aFRR;NEG_00_04;11.4;6.0;PROVIDER_TO_GRID;5;5;DE;
91988;2019-01-25;2019-01-25;aFRR;NEG_00_04;11.4;6.0;PROVIDER_TO_GRID;5;5;DE;
91989;2019-01-25;2019-01-25;aFRR;NEG_00_04;11.4;6.0;PROVIDER_TO_GRID;5;5;DE;
91990;2019-01-25;2019-01-25;aFRR;NEG_00_04;11.4;6.0;PROVIDER_TO_GRID;5;5;DE;
91991;2019-01-25;2019-01-25;aFRR;NEG_00_04;11.4;6.0;PROVIDER_TO_GRID;5;5;DE;
91992;2019-01-25;2019-01-25;aFRR;NEG_00_04;11.4;6.0;PROVIDER_TO_GRID;5;5;DE;
91993;2019-01-25;2019-01-25;aFRR;NEG_00_04;11.4;6.0;PROVIDER_TO_GRID;5;5;DE;
